Metric ID,Metric Name,Category,Definition,Data Source,Calculation,Target/Benchmark,Frequency,Owner
KPI-22,SEO organic sessions,Organic,Sessions arriving via organic search to SEO-CONTENT-PLAN.csv articles,Analytics + Search Console (NEEDS LIVE DATA),Organic search sessions to /blog or equivalent,NEEDS LIVE DATA,Monthly,DRAFT ASSUMPTION - Manus/SEO
KPI-23,Keyword rankings tracked,Organic,Ranking position for the 36 target keywords in SEO-CONTENT-PLAN.csv,Rank tracking tool (NEEDS LIVE DATA - not yet selected),Position per tracked keyword,NEEDS SEARCH VALIDATION,Monthly,DRAFT ASSUMPTION - Manus/SEO
KPI-24,Partner-referred sessions,Partner,Sessions arriving via partner links (utm_medium=referral),Analytics platform,Sessions where utm_medium=referral,NEEDS LIVE DATA,Weekly,DRAFT ASSUMPTION - Manus/Partnerships
KPI-25,Partner-referred conversions,Partner,Completed orders attributed to partner links,Analytics + order data,Orders where utm_medium=referral,NEEDS LIVE DATA,Weekly,DRAFT ASSUMPTION - Manus/Partnerships
KPI-26,Active approved partners,Partner,Count of partners approved per PARTNER-EVALUATION-RUBRIC.csv,Partner tracking sheet,Count of status=approved,NEEDS LIVE DATA,Monthly,DRAFT ASSUMPTION - Manus/Partnerships
KPI-27,Support ticket volume,Support,Total support tickets received per week,Support platform (NEEDS LIVE DATA - not yet selected),Count of tickets,NEEDS LIVE DATA,Weekly,DRAFT ASSUMPTION - Manus/Support
KPI-28,Support ticket resolution time,Support,Average time to first response and resolution,Support platform,Time from ticket open to resolution,NEEDS LIVE DATA - no SLA confirmed yet,Weekly,DRAFT ASSUMPTION - Manus/Support
KPI-29,CRO experiment win rate,Experimentation,Percent of CRO-EXPERIMENT-BACKLOG.csv experiments that produce a statistically significant lift,Experimentation platform (NEEDS LIVE DATA),Winning experiments / experiments run,NEEDS LIVE DATA,Monthly,DRAFT ASSUMPTION - Manus/Growth
KPI-30,Product 3 compliance audit pass rate,Compliance,Percent of published Business Mastermind assets passing the self-guided-only language check,Manual audit against SELF-GUIDED-COPY-PATCHES.md,Passing assets / total audited,"100% required, non-negotiable","Weekly during launch, then monthly",DRAFT ASSUMPTION - Manus/Compliance
KPI-31,Blocking decision register open items,Operations,Count of unresolved OWNER DECISION REQUIRED items across all work orders,OWNER-DECISION-REGISTER.csv,Count of status=open,0 before public launch (recommended),Weekly,DRAFT ASSUMPTION - Manus/Program Management
KPI-32,Site uptime (apex + www + manus subdomain),Operations,"Percent uptime for cirogamino.com, www.cirogamino.com, and manus.cirogamino.com",Uptime monitor (NEEDS LIVE DATA - not yet configured),Uptime minutes / total minutes,NEEDS LIVE DATA - no monitor configured as of this work order,Daily,DRAFT ASSUMPTION - Manus/Infrastructure
