Email ID,Sequence,Audience,Trigger,Delay Assumption,Consent Required,Suppression Rule,Offer,Subject,CTA,Destination,Link Type,Event Prerequisite,Data Required,Status
E05-20,Checkout Recovery,Business Mastermind cart abandoners,Checkout started but not completed,DRAFT ASSUMPTION - 24 hours after abandonment,No - transactional (order recovery),Suppress once order completes,Business Mastermind $199,One question before you go,Finish your order — $199,Business Mastermind checkout page (cart-restore link),Checkout link with UTM,Cart-abandon event fired,Cart/session ID + email address,BLOCKED - NEEDS LIVE DATA (cart tracking not yet confirmed live)
E05-21,Checkout Recovery,Business Mastermind cart abandoners,Checkout started but not completed,DRAFT ASSUMPTION - 72 hours after abandonment,No - transactional (order recovery),Suppress once order completes,Business Mastermind $199,Last note on the Business Mastermind,Finish your order — $199,Business Mastermind checkout page (cart-restore link),Checkout link with UTM,Cart-abandon event fired,Cart/session ID + email address,BLOCKED - NEEDS LIVE DATA (cart tracking not yet confirmed live)
E05-22,Cross-Sell,Prompt Club purchasers,Prompt Club order confirmed,DRAFT ASSUMPTION - Day 5 post-purchase,No - transactional/owned list,Suppress if already purchased Automation Templates,Automation Templates $49,The next step after the daily loop,Get the Automation Templates — $49,Automation Templates checkout page,Checkout link with UTM,Prompt Club purchase-confirmed event,Order ID + email address,BLOCKED - NEEDS LIVE DATA (purchase event feed not yet confirmed live)
E05-23,Cross-Sell,Prompt Club purchasers,Prompt Club order confirmed,DRAFT ASSUMPTION - Day 10 post-purchase,No - transactional/owned list,Suppress if already purchased Automation Templates,Automation Templates $49,From single prompts to full workflows,Get the Automation Templates — $49,Automation Templates checkout page,Checkout link with UTM,Prompt Club purchase-confirmed event,Order ID + email address,BLOCKED - NEEDS LIVE DATA (purchase event feed not yet confirmed live)
E05-24,Cross-Sell,Prompt Club purchasers,Prompt Club order confirmed,DRAFT ASSUMPTION - Day 15 post-purchase,No - transactional/owned list,Suppress if already purchased Automation Templates,Automation Templates $49,Last call on the Automation Templates,Get the Automation Templates — $49,Automation Templates checkout page,Checkout link with UTM,Prompt Club purchase-confirmed event,Order ID + email address,BLOCKED - NEEDS LIVE DATA (purchase event feed not yet confirmed live)
E05-25,Cross-Sell,Automation Templates purchasers,Automation Templates order confirmed,DRAFT ASSUMPTION - Day 5 post-purchase,No - transactional/owned list,Suppress if already purchased Business Mastermind,Business Mastermind $199,The decision layer your templates need,Get the Business Mastermind — $199,Business Mastermind checkout page,Checkout link with UTM,Automation Templates purchase-confirmed event,Order ID + email address,BLOCKED - NEEDS LIVE DATA (purchase event feed not yet confirmed live)
E05-26,Cross-Sell,Automation Templates purchasers,Automation Templates order confirmed,DRAFT ASSUMPTION - Day 10 post-purchase,No - transactional/owned list,Suppress if already purchased Business Mastermind,Business Mastermind $199,From workflows to decisions,Get the Business Mastermind — $199,Business Mastermind checkout page,Checkout link with UTM,Automation Templates purchase-confirmed event,Order ID + email address,BLOCKED - NEEDS LIVE DATA (purchase event feed not yet confirmed live)
E05-27,Cross-Sell,Automation Templates purchasers,Automation Templates order confirmed,DRAFT ASSUMPTION - Day 15 post-purchase,No - transactional/owned list,Suppress if already purchased Business Mastermind,Business Mastermind $199,Last call on the Business Mastermind,Get the Business Mastermind — $199,Business Mastermind checkout page,Checkout link with UTM,Automation Templates purchase-confirmed event,Order ID + email address,BLOCKED - NEEDS LIVE DATA (purchase event feed not yet confirmed live)
E05-28,Cross-Sell,Prompt Club purchasers (skip-level),Prompt Club order confirmed,DRAFT ASSUMPTION - Day 20 post-purchase,No - transactional/owned list,Suppress if already purchased Business Mastermind,Business Mastermind $199,Beyond daily practice,Get the Business Mastermind — $199,Business Mastermind checkout page,Checkout link with UTM,Prompt Club purchase-confirmed event,Order ID + email address,BLOCKED - NEEDS LIVE DATA (purchase event feed not yet confirmed live)
E05-29,Cross-Sell,Prompt Club purchasers (skip-level),Prompt Club order confirmed,DRAFT ASSUMPTION - Day 25 post-purchase,No - transactional/owned list,Suppress if already purchased Business Mastermind,Business Mastermind $199,The framework behind the habit,Get the Business Mastermind — $199,Business Mastermind checkout page,Checkout link with UTM,Prompt Club purchase-confirmed event,Order ID + email address,BLOCKED - NEEDS LIVE DATA (purchase event feed not yet confirmed live)
E05-30,Cross-Sell,Prompt Club purchasers (skip-level),Prompt Club order confirmed,DRAFT ASSUMPTION - Day 30 post-purchase,No - transactional/owned list,Suppress if already purchased Business Mastermind,Business Mastermind $199,Last call on the Business Mastermind,Get the Business Mastermind — $199,Business Mastermind checkout page,Checkout link with UTM,Prompt Club purchase-confirmed event,Order ID + email address,BLOCKED - NEEDS LIVE DATA (purchase event feed not yet confirmed live)
WO3-PP-1.1,Post-Purchase (Work Order 03 - referenced not recreated),Prompt Club buyers,Order confirmed,DRAFT ASSUMPTION - Day 0 (immediate),No - transactional,Suppress if refunded,Prompt Club $9,Order confirmation and access,N/A - delivery email,Order-verification/fresh-link flow,Fresh signed link (non-permanent),Prompt Club purchase-confirmed event,Order ID + email address,DRAFT - see Work Order 03 POST-PURCHASE-EMAIL-SEQUENCES.md
WO3-PP-1.2,Post-Purchase (Work Order 03 - referenced not recreated),Prompt Club buyers,Order confirmed,DRAFT ASSUMPTION - Day 3,No - transactional/owned list,Suppress if refunded,Prompt Club $9,Getting the most from Day 1,N/A - onboarding email,Order-verification/fresh-link flow,Fresh signed link (non-permanent),Prompt Club purchase-confirmed event,Order ID + email address,DRAFT - see Work Order 03 POST-PURCHASE-EMAIL-SEQUENCES.md
WO3-PP-1.3,Post-Purchase (Work Order 03 - referenced not recreated),Prompt Club buyers,Order confirmed,DRAFT ASSUMPTION - Day 10,No - transactional/owned list,Suppress if refunded,Prompt Club $9,Check-in at the halfway point,N/A - engagement email,Order-verification/fresh-link flow,Fresh signed link (non-permanent),Prompt Club purchase-confirmed event,Order ID + email address,DRAFT - see Work Order 03 POST-PURCHASE-EMAIL-SEQUENCES.md
WO3-PP-1.4,Post-Purchase (Work Order 03 - referenced not recreated),Prompt Club buyers,Order confirmed,DRAFT ASSUMPTION - Day 25,No - transactional/owned list,Suppress if refunded,Prompt Club $9,Support and access reminder,N/A - support email,Order-verification/fresh-link flow,Fresh signed link (non-permanent),Prompt Club purchase-confirmed event,Order ID + email address,DRAFT - see Work Order 03 POST-PURCHASE-EMAIL-SEQUENCES.md
WO3-PP-2.1,Post-Purchase (Work Order 03 - referenced not recreated),Automation Templates buyers,Order confirmed,DRAFT ASSUMPTION - Day 0 (immediate),No - transactional,Suppress if refunded,Automation Templates $49,Order confirmation and access,N/A - delivery email,Order-verification/fresh-link flow,Fresh signed link (non-permanent),Automation Templates purchase-confirmed event,Order ID + email address,DRAFT - see Work Order 03 POST-PURCHASE-EMAIL-SEQUENCES.md
WO3-PP-2.2,Post-Purchase (Work Order 03 - referenced not recreated),Automation Templates buyers,Order confirmed,DRAFT ASSUMPTION - Day 3,No - transactional/owned list,Suppress if refunded,Automation Templates $49,Getting the most from component 1,N/A - onboarding email,Order-verification/fresh-link flow,Fresh signed link (non-permanent),Automation Templates purchase-confirmed event,Order ID + email address,DRAFT - see Work Order 03 POST-PURCHASE-EMAIL-SEQUENCES.md
WO3-PP-2.3,Post-Purchase (Work Order 03 - referenced not recreated),Automation Templates buyers,Order confirmed,DRAFT ASSUMPTION - Day 10,No - transactional/owned list,Suppress if refunded,Automation Templates $49,Check-in at the halfway point,N/A - engagement email,Order-verification/fresh-link flow,Fresh signed link (non-permanent),Automation Templates purchase-confirmed event,Order ID + email address,DRAFT - see Work Order 03 POST-PURCHASE-EMAIL-SEQUENCES.md
WO3-PP-2.4,Post-Purchase (Work Order 03 - referenced not recreated),Automation Templates buyers,Order confirmed,DRAFT ASSUMPTION - Day 25,No - transactional/owned list,Suppress if refunded,Automation Templates $49,Support and access reminder,N/A - support email,Order-verification/fresh-link flow,Fresh signed link (non-permanent),Automation Templates purchase-confirmed event,Order ID + email address,DRAFT - see Work Order 03 POST-PURCHASE-EMAIL-SEQUENCES.md
WO3-PP-3.1,Post-Purchase (Work Order 03 - referenced not recreated),Business Mastermind buyers,Order confirmed,DRAFT ASSUMPTION - Day 0 (immediate),No - transactional,Suppress if refunded,Business Mastermind $199,Order confirmation and access,N/A - delivery email,Order-verification/fresh-link flow,Fresh signed link (non-permanent),Business Mastermind purchase-confirmed event,Order ID + email address,DRAFT - see Work Order 03 POST-PURCHASE-EMAIL-SEQUENCES.md
WO3-PP-3.2,Post-Purchase (Work Order 03 - referenced not recreated),Business Mastermind buyers,Order confirmed,DRAFT ASSUMPTION - Day 3,No - transactional/owned list,Suppress if refunded,Business Mastermind $199,Getting the most from Week 1,N/A - onboarding email,Order-verification/fresh-link flow,Fresh signed link (non-permanent),Business Mastermind purchase-confirmed event,Order ID + email address,DRAFT - see Work Order 03 POST-PURCHASE-EMAIL-SEQUENCES.md
WO3-PP-3.3,Post-Purchase (Work Order 03 - referenced not recreated),Business Mastermind buyers,Order confirmed,DRAFT ASSUMPTION - Day 10,No - transactional/owned list,Suppress if refunded,Business Mastermind $199,Check-in at the halfway point,N/A - engagement email,Order-verification/fresh-link flow,Fresh signed link (non-permanent),Business Mastermind purchase-confirmed event,Order ID + email address,DRAFT - see Work Order 03 POST-PURCHASE-EMAIL-SEQUENCES.md
WO3-PP-3.4,Post-Purchase (Work Order 03 - referenced not recreated),Business Mastermind buyers,Order confirmed,DRAFT ASSUMPTION - Day 25,No - transactional/owned list,Suppress if refunded,Business Mastermind $199,Support and access reminder,N/A - support email,Order-verification/fresh-link flow,Fresh signed link (non-permanent),Business Mastermind purchase-confirmed event,Order ID + email address,DRAFT - see Work Order 03 POST-PURCHASE-EMAIL-SEQUENCES.md
