Repurposed Asset ID,Source Asset ID,Source Format,Product,Repurposed Output,Target Format,Target Channel,Status,Notes
RP05-015,V05-08,Short-form video,Prompt Club $9,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-016,V05-08,Short-form video,Prompt Club $9,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-017,V05-09,Short-form video,Prompt Club $9,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-018,V05-09,Short-form video,Prompt Club $9,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-019,V05-10,Short-form video,Prompt Club $9,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-020,V05-10,Short-form video,Prompt Club $9,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-021,V05-11,Short-form video,Prompt Club $9,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-022,V05-11,Short-form video,Prompt Club $9,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-023,V05-12,Short-form video,Prompt Club $9,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-024,V05-12,Short-form video,Prompt Club $9,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-025,V05-13,Short-form video,Prompt Club $9,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-026,V05-13,Short-form video,Prompt Club $9,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-027,V05-14,Short-form video,Prompt Club $9,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-028,V05-14,Short-form video,Prompt Club $9,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-029,V05-15,Short-form video,Prompt Club $9,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-030,V05-15,Short-form video,Prompt Club $9,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-031,V05-16,Short-form video,Automation Templates $49,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-032,V05-16,Short-form video,Automation Templates $49,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-033,V05-17,Short-form video,Automation Templates $49,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-034,V05-17,Short-form video,Automation Templates $49,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-035,V05-18,Short-form video,Automation Templates $49,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-036,V05-18,Short-form video,Automation Templates $49,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-037,V05-19,Short-form video,Automation Templates $49,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-038,V05-19,Short-form video,Automation Templates $49,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-039,V05-20,Short-form video,Automation Templates $49,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-040,V05-20,Short-form video,Automation Templates $49,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-041,V05-21,Short-form video,Automation Templates $49,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-042,V05-21,Short-form video,Automation Templates $49,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-043,V05-22,Short-form video,Automation Templates $49,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-044,V05-22,Short-form video,Automation Templates $49,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-045,V05-23,Short-form video,Automation Templates $49,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-046,V05-23,Short-form video,Automation Templates $49,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-047,V05-24,Short-form video,Automation Templates $49,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-048,V05-24,Short-form video,Automation Templates $49,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-049,V05-25,Short-form video,Automation Templates $49,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-050,V05-25,Short-form video,Automation Templates $49,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-051,V05-26,Short-form video,Automation Templates $49,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-052,V05-26,Short-form video,Automation Templates $49,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-053,V05-27,Short-form video,Automation Templates $49,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-054,V05-27,Short-form video,Automation Templates $49,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-055,V05-28,Short-form video,Automation Templates $49,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-056,V05-28,Short-form video,Automation Templates $49,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-057,V05-29,Short-form video,Automation Templates $49,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-058,V05-29,Short-form video,Automation Templates $49,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-059,V05-30,Short-form video,Automation Templates $49,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-060,V05-30,Short-form video,Automation Templates $49,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-061,V05-31,Short-form video,Business Mastermind $199,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-062,V05-31,Short-form video,Business Mastermind $199,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-063,V05-32,Short-form video,Business Mastermind $199,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-064,V05-32,Short-form video,Business Mastermind $199,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-065,V05-33,Short-form video,Business Mastermind $199,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-066,V05-33,Short-form video,Business Mastermind $199,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-067,V05-34,Short-form video,Business Mastermind $199,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-068,V05-34,Short-form video,Business Mastermind $199,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-069,V05-35,Short-form video,Business Mastermind $199,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-070,V05-35,Short-form video,Business Mastermind $199,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-071,V05-36,Short-form video,Business Mastermind $199,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-072,V05-36,Short-form video,Business Mastermind $199,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-073,V05-37,Short-form video,Business Mastermind $199,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-074,V05-37,Short-form video,Business Mastermind $199,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-075,V05-38,Short-form video,Business Mastermind $199,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-076,V05-38,Short-form video,Business Mastermind $199,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-077,V05-39,Short-form video,Business Mastermind $199,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-078,V05-39,Short-form video,Business Mastermind $199,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-079,V05-40,Short-form video,Business Mastermind $199,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-080,V05-40,Short-form video,Business Mastermind $199,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-081,V05-41,Short-form video,Business Mastermind $199,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-082,V05-41,Short-form video,Business Mastermind $199,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-083,V05-42,Short-form video,Business Mastermind $199,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-084,V05-42,Short-form video,Business Mastermind $199,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-085,V05-43,Short-form video,Business Mastermind $199,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-086,V05-43,Short-form video,Business Mastermind $199,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-087,V05-44,Short-form video,Business Mastermind $199,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-088,V05-44,Short-form video,Business Mastermind $199,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-089,V05-45,Short-form video,Business Mastermind $199,Pull-quote/hook line lifted from video script into a static text graphic,Static quote graphic (1:1),Instagram Feed / X (Twitter),DRAFT,Reuses the hook line verbatim; no new copywriting needed
RP05-090,V05-45,Short-form video,Business Mastermind $199,Teaching point from video condensed into a 2-3 sentence newsletter blurb,Newsletter snippet / blurb,Email (folded into nearest N05 issue),DRAFT,Editor selects which newsletter issue it slots into; not a new N05 issue
RP05-091,C05-01,Carousel/Pin sequence,Prompt Club $9,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-092,C05-02,Carousel/Pin sequence,Prompt Club $9,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-093,C05-03,Carousel/Pin sequence,Prompt Club $9,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-094,C05-04,Carousel/Pin sequence,Prompt Club $9,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-095,C05-05,Carousel/Pin sequence,Prompt Club $9,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-096,C05-06,Carousel/Pin sequence,Prompt Club $9,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-097,C05-07,Carousel/Pin sequence,Prompt Club $9,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-098,C05-08,Carousel/Pin sequence,Prompt Club $9,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-099,C05-09,Carousel/Pin sequence,Prompt Club $9,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-100,C05-10,Carousel/Pin sequence,Prompt Club $9,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-101,C05-11,Carousel/Pin sequence,Automation Templates $49,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-102,C05-12,Carousel/Pin sequence,Automation Templates $49,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-103,C05-13,Carousel/Pin sequence,Automation Templates $49,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-104,C05-14,Carousel/Pin sequence,Automation Templates $49,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-105,C05-15,Carousel/Pin sequence,Automation Templates $49,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-106,C05-16,Carousel/Pin sequence,Automation Templates $49,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-107,C05-17,Carousel/Pin sequence,Automation Templates $49,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-108,C05-18,Carousel/Pin sequence,Automation Templates $49,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-109,C05-19,Carousel/Pin sequence,Automation Templates $49,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-110,C05-20,Carousel/Pin sequence,Automation Templates $49,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-111,C05-21,Carousel/Pin sequence,Business Mastermind $199,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-112,C05-22,Carousel/Pin sequence,Business Mastermind $199,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-113,C05-23,Carousel/Pin sequence,Business Mastermind $199,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-114,C05-24,Carousel/Pin sequence,Business Mastermind $199,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-115,C05-25,Carousel/Pin sequence,Business Mastermind $199,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-116,C05-26,Carousel/Pin sequence,Business Mastermind $199,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-117,C05-27,Carousel/Pin sequence,Business Mastermind $199,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-118,C05-28,Carousel/Pin sequence,Business Mastermind $199,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-119,C05-29,Carousel/Pin sequence,Business Mastermind $199,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
RP05-120,C05-30,Carousel/Pin sequence,Business Mastermind $199,Multi-frame carousel condensed to a single summary image (frame 1 hook + closing CTA combined),Single image Pin,Pinterest,DRAFT,Condensed version for platforms/placements that do not support multi-frame carousels
