Asset ID,Source File,Asset Type,Product,Format/Spec,Duration or Dimensions,Production Status,Priority,Owner,Notes
V05-16,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Automation Templates $49,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P1,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-17,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Automation Templates $49,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-18,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Automation Templates $49,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-19,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Automation Templates $49,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-20,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Automation Templates $49,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-21,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Automation Templates $49,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-22,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Automation Templates $49,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-23,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Automation Templates $49,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-24,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Automation Templates $49,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-25,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Automation Templates $49,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-26,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Automation Templates $49,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-27,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Automation Templates $49,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-28,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Automation Templates $49,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-29,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Automation Templates $49,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-30,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Automation Templates $49,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-31,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Business Mastermind $199,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P1,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-32,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Business Mastermind $199,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-33,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Business Mastermind $199,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-34,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Business Mastermind $199,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-35,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Business Mastermind $199,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-36,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Business Mastermind $199,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-37,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Business Mastermind $199,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-38,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Business Mastermind $199,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-39,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Business Mastermind $199,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-40,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Business Mastermind $199,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-41,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Business Mastermind $199,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-42,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Business Mastermind $199,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-43,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Business Mastermind $199,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-44,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Business Mastermind $199,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
V05-45,SHORT-FORM-VIDEO-SCRIPTS.md,Short-form video,Business Mastermind $199,"Vertical 9:16, platform-native captions",DRAFT ASSUMPTION - 30-60 sec,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Script complete; needs recording/editing pass
C05-01,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Prompt Club $9,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-02,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Prompt Club $9,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-03,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Prompt Club $9,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-04,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Prompt Club $9,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-05,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Prompt Club $9,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-06,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Prompt Club $9,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-07,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Prompt Club $9,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-08,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Prompt Club $9,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-09,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Prompt Club $9,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-10,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Prompt Club $9,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-11,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Automation Templates $49,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-12,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Automation Templates $49,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-13,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Automation Templates $49,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-14,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Automation Templates $49,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-15,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Automation Templates $49,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-16,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Automation Templates $49,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-17,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Automation Templates $49,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-18,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Automation Templates $49,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-19,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Automation Templates $49,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-20,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Automation Templates $49,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-21,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Business Mastermind $199,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-22,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Business Mastermind $199,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-23,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Business Mastermind $199,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-24,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Business Mastermind $199,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-25,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Business Mastermind $199,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-26,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Business Mastermind $199,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-27,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Business Mastermind $199,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-28,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Business Mastermind $199,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-29,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Business Mastermind $199,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
C05-30,CAROUSEL-AND-PIN-SCRIPTS.md,Carousel/Pin sequence,Business Mastermind $199,"Square 1:1 or 2:3 (Pin), 6-9 frames",N/A - static frames,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,Frame copy complete; needs design pass
D05-01,PRODUCT-DEMO-SCRIPTS.md,Product demo (screen recording),Prompt Club $9,"Landscape 16:9, screen capture + voiceover",DRAFT ASSUMPTION - 60-100 sec,NOT STARTED - BLOCKED (needs final product files locked),P1,DRAFT ASSUMPTION - Manus/Creative,Cannot record until delivered product files are final
D05-02,PRODUCT-DEMO-SCRIPTS.md,Product demo (screen recording),Prompt Club $9,"Landscape 16:9, screen capture + voiceover",DRAFT ASSUMPTION - 60-100 sec,NOT STARTED - BLOCKED (needs final product files locked),P1,DRAFT ASSUMPTION - Manus/Creative,Cannot record until delivered product files are final
D05-03,PRODUCT-DEMO-SCRIPTS.md,Product demo (screen recording),Prompt Club $9,"Landscape 16:9, screen capture + voiceover",DRAFT ASSUMPTION - 60-100 sec,NOT STARTED - BLOCKED (needs final product files locked),P1,DRAFT ASSUMPTION - Manus/Creative,Cannot record until delivered product files are final
D05-04,PRODUCT-DEMO-SCRIPTS.md,Product demo (screen recording),Prompt Club $9,"Landscape 16:9, screen capture + voiceover",DRAFT ASSUMPTION - 60-100 sec,NOT STARTED - BLOCKED (needs final product files locked),P1,DRAFT ASSUMPTION - Manus/Creative,Cannot record until delivered product files are final
D05-05,PRODUCT-DEMO-SCRIPTS.md,Product demo (screen recording),Automation Templates $49,"Landscape 16:9, screen capture + voiceover",DRAFT ASSUMPTION - 60-100 sec,NOT STARTED - BLOCKED (needs final product files locked),P1,DRAFT ASSUMPTION - Manus/Creative,Cannot record until delivered product files are final
D05-06,PRODUCT-DEMO-SCRIPTS.md,Product demo (screen recording),Automation Templates $49,"Landscape 16:9, screen capture + voiceover",DRAFT ASSUMPTION - 60-100 sec,NOT STARTED - BLOCKED (needs final product files locked),P1,DRAFT ASSUMPTION - Manus/Creative,Cannot record until delivered product files are final
D05-07,PRODUCT-DEMO-SCRIPTS.md,Product demo (screen recording),Automation Templates $49,"Landscape 16:9, screen capture + voiceover",DRAFT ASSUMPTION - 60-100 sec,NOT STARTED - BLOCKED (needs final product files locked),P1,DRAFT ASSUMPTION - Manus/Creative,Cannot record until delivered product files are final
D05-08,PRODUCT-DEMO-SCRIPTS.md,Product demo (screen recording),Automation Templates $49,"Landscape 16:9, screen capture + voiceover",DRAFT ASSUMPTION - 60-100 sec,NOT STARTED - BLOCKED (needs final product files locked),P1,DRAFT ASSUMPTION - Manus/Creative,Cannot record until delivered product files are final
D05-09,PRODUCT-DEMO-SCRIPTS.md,Product demo (screen recording),Business Mastermind $199,"Landscape 16:9, screen capture + voiceover",DRAFT ASSUMPTION - 60-100 sec,NOT STARTED - BLOCKED (needs final product files locked),P1,DRAFT ASSUMPTION - Manus/Creative,Cannot record until delivered product files are final
D05-10,PRODUCT-DEMO-SCRIPTS.md,Product demo (screen recording),Business Mastermind $199,"Landscape 16:9, screen capture + voiceover",DRAFT ASSUMPTION - 60-100 sec,NOT STARTED - BLOCKED (needs final product files locked),P1,DRAFT ASSUMPTION - Manus/Creative,Cannot record until delivered product files are final
D05-11,PRODUCT-DEMO-SCRIPTS.md,Product demo (screen recording),Business Mastermind $199,"Landscape 16:9, screen capture + voiceover",DRAFT ASSUMPTION - 60-100 sec,NOT STARTED - BLOCKED (needs final product files locked),P1,DRAFT ASSUMPTION - Manus/Creative,Cannot record until delivered product files are final
D05-12,PRODUCT-DEMO-SCRIPTS.md,Product demo (screen recording),Business Mastermind $199,"Landscape 16:9, screen capture + voiceover",DRAFT ASSUMPTION - 60-100 sec,NOT STARTED - BLOCKED (needs final product files locked),P1,DRAFT ASSUMPTION - Manus/Creative,Cannot record until delivered product files are final
IMG05-01,CREATIVE-PRODUCTION-INVENTORY.csv (new),Hero/mockup image,Prompt Club $9,"Storefront hero mockup, 1200x1200 min",N/A - static,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,No physical product exists; mockup must clearly read as digital-download only
IMG05-02,CREATIVE-PRODUCTION-INVENTORY.csv (new),Hero/mockup image,Prompt Club $9,"Checkout page mockup, 1200x1200 min",N/A - static,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,No physical product exists; mockup must clearly read as digital-download only
IMG05-03,CREATIVE-PRODUCTION-INVENTORY.csv (new),Hero/mockup image,Prompt Club $9,"Mobile device mockup, 1200x1200 min",N/A - static,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,No physical product exists; mockup must clearly read as digital-download only
IMG05-04,CREATIVE-PRODUCTION-INVENTORY.csv (new),Hero/mockup image,Prompt Club $9,"Laptop screen mockup, 1200x1200 min",N/A - static,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,No physical product exists; mockup must clearly read as digital-download only
IMG05-05,CREATIVE-PRODUCTION-INVENTORY.csv (new),Hero/mockup image,Prompt Club $9,"Flat-lay / abstract product mockup, 1200x1200 min",N/A - static,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,No physical product exists; mockup must clearly read as digital-download only
IMG05-06,CREATIVE-PRODUCTION-INVENTORY.csv (new),Hero/mockup image,Automation Templates $49,"Storefront hero mockup, 1200x1200 min",N/A - static,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,No physical product exists; mockup must clearly read as digital-download only
IMG05-07,CREATIVE-PRODUCTION-INVENTORY.csv (new),Hero/mockup image,Automation Templates $49,"Checkout page mockup, 1200x1200 min",N/A - static,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,No physical product exists; mockup must clearly read as digital-download only
IMG05-08,CREATIVE-PRODUCTION-INVENTORY.csv (new),Hero/mockup image,Automation Templates $49,"Mobile device mockup, 1200x1200 min",N/A - static,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,No physical product exists; mockup must clearly read as digital-download only
IMG05-09,CREATIVE-PRODUCTION-INVENTORY.csv (new),Hero/mockup image,Automation Templates $49,"Laptop screen mockup, 1200x1200 min",N/A - static,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,No physical product exists; mockup must clearly read as digital-download only
IMG05-10,CREATIVE-PRODUCTION-INVENTORY.csv (new),Hero/mockup image,Automation Templates $49,"Flat-lay / abstract product mockup, 1200x1200 min",N/A - static,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,No physical product exists; mockup must clearly read as digital-download only
IMG05-11,CREATIVE-PRODUCTION-INVENTORY.csv (new),Hero/mockup image,Business Mastermind $199,"Storefront hero mockup, 1200x1200 min",N/A - static,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,No physical product exists; mockup must clearly read as digital-download only
IMG05-12,CREATIVE-PRODUCTION-INVENTORY.csv (new),Hero/mockup image,Business Mastermind $199,"Checkout page mockup, 1200x1200 min",N/A - static,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,No physical product exists; mockup must clearly read as digital-download only
IMG05-13,CREATIVE-PRODUCTION-INVENTORY.csv (new),Hero/mockup image,Business Mastermind $199,"Mobile device mockup, 1200x1200 min",N/A - static,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,No physical product exists; mockup must clearly read as digital-download only
IMG05-14,CREATIVE-PRODUCTION-INVENTORY.csv (new),Hero/mockup image,Business Mastermind $199,"Laptop screen mockup, 1200x1200 min",N/A - static,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,No physical product exists; mockup must clearly read as digital-download only
IMG05-15,CREATIVE-PRODUCTION-INVENTORY.csv (new),Hero/mockup image,Business Mastermind $199,"Flat-lay / abstract product mockup, 1200x1200 min",N/A - static,NOT STARTED,P2,DRAFT ASSUMPTION - Manus/Creative,No physical product exists; mockup must clearly read as digital-download only
IMG05-16,CREATIVE-PRODUCTION-INVENTORY.csv (new),OG/social image,Prompt Club $9,"Open Graph share image, 1200x630 (OG) or platform spec",N/A - static,NOT STARTED,P3,DRAFT ASSUMPTION - Manus/Creative,Must match live storefront copy exactly
