Day,Date Placeholder,Asset ID,Channel,Offer,Funnel Stage,Content Pillar,Format,Hook,CTA,Source Asset,UTM String,Owner,Prerequisite,Status
22,[DATE: Day 22 of launch],C05-07,Instagram,The Daily AI Prompt Club -8,MOFU,Objection,Carousel,"A training note someone unfamiliar could follow without a clarifying question.",Get Offer,30-DAY-PROMPT-PRACTICE.md Day 22,utm_source=instagram&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=c05-07,Manus,None,DRAFT
23,[DATE: Day 23 of launch],T05-07,X,The AI Automation Templates -8,TOFU,Story,Text,"The exception log: what didn't fit the rules, and what rule was missing.",Learn More,AUTOMATION-TEMPLATE-PACK.md component 7 (Exception Log),utm_source=x&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=t05-07,Manus,None,DRAFT
24,[DATE: Day 24 of launch],V05-07,TikTok,The AI Business Mastermind -8,BOFU,Offer,Video,"No live calls. No cohort. A framework you work through alone.",Shop Now,START-HERE.md (Business Mastermind),utm_source=tiktok&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=v05-07,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
25,[DATE: Day 25 of launch],C05-08,Pinterest,The Daily AI Prompt Club -8,TOFU,Practice,Pin,"A realistic 5-day plan starts by flagging what's unrealistic in the ask.",Learn More,30-DAY-PROMPT-PRACTICE.md Day 25,utm_source=pinterest&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=c05-08,Manus,None,DRAFT
26,[DATE: Day 26 of launch],V05-08,YouTube,The AI Automation Templates -8,MOFU,Framework,Video,"Decision receipt: write down why you chose what you chose, before you forget.",Get Offer,AUTOMATION-TEMPLATE-PACK.md component 8 (Decision Receipt),utm_source=youtube&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=v05-08,Manus,None,DRAFT
27,[DATE: Day 27 of launch],N05-04,Beehiiv,The AI Business Mastermind -8,MOFU,Proof,Newsletter,"The Operator Scorecard tracks four decisions so you can see your own pattern.",Get Offer,OPERATOR-SCORECARD.csv,utm_source=beehiiv&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=n05-04,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
28,[DATE: Day 28 of launch],T05-08,X,The Daily AI Prompt Club -8,MOFU,Objection,Text,"Which prompt structure are you still writing vaguely? Fix that one first.",Get Offer,30-DAY-PROMPT-PRACTICE.md Day 28,utm_source=x&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=t05-08,Manus,None,DRAFT
29,[DATE: Day 29 of launch],C05-09,Instagram,The AI Automation Templates -8,TOFU,Story,Carousel,"A test charter defines the pilot before you run it, not after.",Learn More,AUTOMATION-TEMPLATE-PACK.md component 9 (Test Charter),utm_source=instagram&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=c05-09,Manus,None,DRAFT
30,[DATE: Day 30 of launch],V05-09,TikTok,The AI Business Mastermind -8,BOFU,Offer,Video,"The framework doesn't promise a result. It gives you a record of the decision.",Shop Now,30-DAY-DECISION-ROOM.md The Operator's Rule,utm_source=tiktok&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=v05-09,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
31,[DATE: Day 31 of launch],C05-10,Pinterest,The Daily AI Prompt Club -8,TOFU,Practice,Pin,"Build your own prompt library from the ones marked worth reusing.",Learn More,30-DAY-PROMPT-PRACTICE.md Day 29,utm_source=pinterest&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=c05-10,Manus,None,DRAFT
32,[DATE: Day 32 of launch],V05-10,YouTube,The AI Automation Templates -8,MOFU,Framework,Video,"A scale gate: the conditions required before expanding past the pilot.",Get Offer,AUTOMATION-TEMPLATE-PACK.md component 10 (Scale Gate),utm_source=youtube&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=v05-10,Manus,None,DRAFT
33,[DATE: Day 33 of launch],N05-05,Beehiiv,The AI Business Mastermind -8,MOFU,Proof,Newsletter,"Week 2 is about the constraint you haven't named yet: time, money, or nerve.",Get Offer,30-DAY-DECISION-ROOM.md Week 2,utm_source=beehiiv&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=n05-05,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
34,[DATE: Day 34 of launch],T05-09,X,The Daily AI Prompt Club -8,MOFU,Objection,Text,"The capstone: use your best reusable prompt on something that actually matters.",Get Offer,30-DAY-PROMPT-PRACTICE.md Day 30,utm_source=x&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=t05-09,Manus,None,DRAFT
35,[DATE: Day 35 of launch],C05-11,Instagram,The AI Automation Templates -8,TOFU,Story,Carousel,"Write the rollback plan before you need it, not after.",Learn More,AUTOMATION-TEMPLATE-PACK.md component 11 (Rollback Plan),utm_source=instagram&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=c05-11,Manus,None,DRAFT
36,[DATE: Day 36 of launch],V05-11,TikTok,The AI Business Mastermind -8,BOFU,Offer,Video,"Bring one real, current decision. That's the whole prerequisite.",Shop Now,30-DAY-DECISION-ROOM.md Week 1,utm_source=tiktok&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=v05-11,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
37,[DATE: Day 37 of launch],C05-12,Pinterest,The Daily AI Prompt Club -8,TOFU,Practice,Pin,"Fix a generic AI answer with exactly one added fact.",Learn More,30-DAY-PROMPT-PRACTICE.md Day 3,utm_source=pinterest&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=c05-12,Manus,None,DRAFT
38,[DATE: Day 38 of launch],V05-12,YouTube,The AI Automation Templates -8,MOFU,Framework,Video,"Operating cadence: how often the workflow gets reviewed once it's live.",Get Offer,AUTOMATION-TEMPLATE-PACK.md component 12 (Operating Cadence),utm_source=youtube&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=v05-12,Manus,None,DRAFT
39,[DATE: Day 39 of launch],N05-06,Beehiiv,The AI Business Mastermind -8,MOFU,Proof,Newsletter,"Week 3: choose, write the reversal trigger, tell the people who need to know.",Get Offer,30-DAY-DECISION-ROOM.md Week 3,utm_source=beehiiv&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=n05-06,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
40,[DATE: Day 40 of launch],T05-10,X,The Daily AI Prompt Club -8,MOFU,Objection,Text,"Turn feedback into themes without editorializing what you expected to find.",Get Offer,30-DAY-PROMPT-PRACTICE.md Day 23,utm_source=x&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=t05-10,Manus,None,DRAFT
41,[DATE: Day 41 of launch],C05-13,Instagram,The AI Automation Templates -8,TOFU,Story,Carousel,"A training record: who needs to know how this works, and do they yet?",Learn More,AUTOMATION-TEMPLATE-PACK.md component 13 (Training Record),utm_source=instagram&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=c05-13,Manus,None,DRAFT
42,[DATE: Day 42 of launch],V05-13,TikTok,The AI Business Mastermind -8,BOFU,Offer,Video,"Four weeks. One decision each. A documented reversal trigger for every one.",Shop Now,OPERATOR-SCORECARD.csv,utm_source=tiktok&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=v05-13,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
43,[DATE: Day 43 of launch],C05-14,Pinterest,The Daily AI Prompt Club -8,TOFU,Practice,Pin,"Write your own job description for the AI. Vague roles get vague answers.",Learn More,30-DAY-PROMPT-PRACTICE.md Day 2,utm_source=pinterest&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=c05-14,Manus,None,DRAFT
44,[DATE: Day 44 of launch],V05-14,YouTube,The AI Automation Templates -8,MOFU,Framework,Video,"A contribution ledger tracks what the workflow change really cost, honestly.",Get Offer,AUTOMATION-TEMPLATE-PACK.md component 14 (Contribution Ledger),utm_source=youtube&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=v05-14,Manus,None,DRAFT
45,[DATE: Day 45 of launch],N05-07,Beehiiv,The AI Business Mastermind -8,MOFU,Proof,Newsletter,"Week 4: take the first real action. Not planning. Action.",Get Offer,30-DAY-DECISION-ROOM.md Week 4,utm_source=beehiiv&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=n05-07,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
46,[DATE: Day 46 of launch],T05-11,X,The Daily AI Prompt Club -8,MOFU,Objection,Text,"Draft a 'no' that isn't rude. Direct, no over-apologizing, one alternative.",Get Offer,30-DAY-PROMPT-PRACTICE.md Day 24,utm_source=x&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=t05-11,Manus,None,DRAFT
47,[DATE: Day 47 of launch],C05-15,Instagram,The AI Automation Templates -8,TOFU,Story,Carousel,"The readiness score tells you if the workflow is ready to pilot, or still too messy.",Learn More,02-AI-AUTOMATION-TEMPLATES QUICK-REFERENCE.md,utm_source=instagram&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=c05-15,Manus,None,DRAFT
48,[DATE: Day 48 of launch],V05-15,TikTok,The AI Business Mastermind -8,BOFU,Offer,Video,"$199. One-time. Instant download. No enrollment, no application.",Shop Now,STOREFRONT-SOURCE.html line 599,utm_source=tiktok&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=v05-15,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
49,[DATE: Day 49 of launch],C05-16,Pinterest,The Daily AI Prompt Club -8,TOFU,Practice,Pin,"Compare two options in a table: criteria, A, B, which wins and why.",Learn More,30-DAY-PROMPT-PRACTICE.md Day 11,utm_source=pinterest&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=c05-16,Manus,None,DRAFT
50,[DATE: Day 50 of launch],V05-16,YouTube,The AI Automation Templates -8,MOFU,Framework,Video,"Not a vendor list. Not an implementation service. A planning and testing framework.",Get Offer,02-AI-AUTOMATION-TEMPLATES START-HERE.md,utm_source=youtube&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=v05-16,Manus,None,DRAFT
51,[DATE: Day 51 of launch],N05-08,Beehiiv,The AI Business Mastermind -8,MOFU,Proof,Newsletter,"Week 5: which decision are you least sure about, and what would resolve it?",Get Offer,30-DAY-DECISION-ROOM.md Week 5,utm_source=beehiiv&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=n05-08,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
52,[DATE: Day 52 of launch],T05-12,X,The Daily AI Prompt Club -8,MOFU,Objection,Text,"A check-in message that invites an honest answer, not a polite one.",Get Offer,30-DAY-PROMPT-PRACTICE.md Day 27,utm_source=x&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=t05-12,Manus,None,DRAFT
53,[DATE: Day 53 of launch],C05-17,Instagram,The AI Automation Templates -8,TOFU,Story,Carousel,"14 documents. Opportunity Card to Contribution Ledger. One real workflow.",Learn More,AUTOMATION-TEMPLATE-PACK.md full list,utm_source=instagram&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=c05-17,Manus,None,DRAFT
54,[DATE: Day 54 of launch],V05-17,TikTok,The AI Business Mastermind -8,BOFU,Offer,Video,"Doesn't promise a result. Gives you a way to make one real call properly.",Shop Now,30-DAY-DECISION-ROOM.md The Operator's Rule,utm_source=tiktok&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=v05-17,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
55,[DATE: Day 55 of launch],C05-18,Pinterest,The Daily AI Prompt Club -8,TOFU,Practice,Pin,"Explain a technical thing to a non-technical person in four sentences, no jargon.",Learn More,30-DAY-PROMPT-PRACTICE.md Day 17,utm_source=pinterest&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=c05-18,Manus,None,DRAFT
56,[DATE: Day 56 of launch],V05-18,YouTube,The AI Automation Templates -8,MOFU,Framework,Video,"Source packet: which inputs are reliable enough to trust unsupervised, and which aren't.",Get Offer,AUTOMATION-TEMPLATE-PACK.md component 4,utm_source=youtube&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=v05-18,Manus,None,DRAFT
57,[DATE: Day 57 of launch],N05-09,Beehiiv,The AI Business Mastermind -8,MOFU,Proof,Newsletter,"The real constraint is rarely money. Check time, nerve, and information first.",Get Offer,30-DAY-DECISION-ROOM.md Week 2,utm_source=beehiiv&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=n05-09,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
58,[DATE: Day 58 of launch],T05-13,X,The Daily AI Prompt Club -8,MOFU,Objection,Text,"Build an FAQ from questions people actually asked you, not the polished ones.",Get Offer,30-DAY-PROMPT-PRACTICE.md Day 18,utm_source=x&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=t05-13,Manus,None,DRAFT
59,[DATE: Day 59 of launch],C05-19,Instagram,The AI Automation Templates -8,TOFU,Story,Carousel,"Trigger. Inputs. Rules. Output. Four questions before any tool.",Learn More,AUTOMATION-TEMPLATE-PACK.md component 2,utm_source=instagram&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=c05-19,Manus,None,DRAFT
60,[DATE: Day 60 of launch],V05-19,TikTok,The AI Business Mastermind -8,BOFU,Offer,Video,"Worked alone. On your own schedule. Four real decisions.",Shop Now,03-AI-BUSINESS-MASTERMIND START-HERE.md,utm_source=tiktok&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=v05-19,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
61,[DATE: Day 61 of launch],C05-20,Pinterest,The Daily AI Prompt Club -8,TOFU,Practice,Pin,"Turn a messy to-do list into priorities. What would you cut with 3 hours?",Learn More,30-DAY-PROMPT-PRACTICE.md Day 6,utm_source=pinterest&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=c05-20,Manus,None,DRAFT
62,[DATE: Day 62 of launch],V05-20,YouTube,The AI Automation Templates -8,MOFU,Framework,Video,"The exception log is where you find the rule you're actually missing.",Get Offer,AUTOMATION-TEMPLATE-PACK.md component 7,utm_source=youtube&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=v05-20,Manus,None,DRAFT
63,[DATE: Day 63 of launch],N05-10,Beehiiv,The AI Business Mastermind -8,MOFU,Proof,Newsletter,"Across four decisions, one constraint usually shows up every time. Which is yours?",Get Offer,30-DAY-DECISION-ROOM.md Week 5,utm_source=beehiiv&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=n05-10,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
64,[DATE: Day 64 of launch],T05-14,X,The Daily AI Prompt Club -8,MOFU,Objection,Text,"Simplify your own explanation to one sentence you'd actually say out loud.",Get Offer,30-DAY-PROMPT-PRACTICE.md Day 20,utm_source=x&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=t05-14,Manus,None,DRAFT
65,[DATE: Day 65 of launch],C05-21,Instagram,The AI Automation Templates -8,TOFU,Story,Carousel,"Test one small workflow. Don't rebuild the whole business on day one.",Learn More,AUTOMATION-TEMPLATE-PACK.md component 9,utm_source=instagram&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=c05-21,Manus,None,DRAFT
66,[DATE: Day 66 of launch],V05-21,TikTok,The AI Business Mastermind -8,BOFU,Offer,Video,"A written reversal trigger for every real decision you bring to it.",Shop Now,30-DAY-DECISION-ROOM.md Week 3,utm_source=tiktok&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=v05-21,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
67,[DATE: Day 67 of launch],C05-22,Pinterest,The Daily AI Prompt Club -8,TOFU,Practice,Pin,"Draft a product description with zero superlatives. Just the real difference.",Learn More,30-DAY-PROMPT-PRACTICE.md Day 10,utm_source=pinterest&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=c05-22,Manus,None,DRAFT
68,[DATE: Day 68 of launch],V05-22,YouTube,The AI Automation Templates -8,MOFU,Framework,Video,"A decision receipt: what you chose, the alternative, and why you passed on it.",Get Offer,AUTOMATION-TEMPLATE-PACK.md component 8,utm_source=youtube&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=v05-22,Manus,None,DRAFT
69,[DATE: Day 69 of launch],N05-11,Beehiiv,The AI Business Mastermind -8,MOFU,Proof,Newsletter,"One change to how you decide, not what you decide. That's the real takeaway.",Get Offer,30-DAY-DECISION-ROOM.md Week 5,utm_source=beehiiv&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=n05-11,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
70,[DATE: Day 70 of launch],T05-15,X,The Daily AI Prompt Club -8,MOFU,Objection,Text,"Summarize a long document into five bullets someone could act on in 90 seconds.",Get Offer,30-DAY-PROMPT-PRACTICE.md Day 9,utm_source=x&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=t05-15,Manus,None,DRAFT
71,[DATE: Day 71 of launch],C05-23,Instagram,The AI Automation Templates -8,TOFU,Story,Carousel,"Do not automate a mess. Map the work. Test one piece.",Learn More,AUTOMATION-TEMPLATE-PACK.md Operator's Rule,utm_source=instagram&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=c05-23,Manus,None,DRAFT
72,[DATE: Day 72 of launch],V05-23,TikTok,The AI Business Mastermind -8,BOFU,Offer,Video,"Track four decisions from framing to outcome with the Operator Scorecard.",Shop Now,OPERATOR-SCORECARD.csv,utm_source=tiktok&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=v05-23,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
73,[DATE: Day 73 of launch],C05-24,Pinterest,The Daily AI Prompt Club -8,TOFU,Practice,Pin,"Rewrite a complaint response with no phrase longer than 6 words repeated from a template.",Learn More,30-DAY-PROMPT-PRACTICE.md Day 8,utm_source=pinterest&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=c05-24,Manus,None,DRAFT
74,[DATE: Day 74 of launch],V05-24,YouTube,The AI Automation Templates -8,MOFU,Framework,Video,"Every review checklist ends with reviewer initials and a date. No exceptions.",Get Offer,AUTOMATION-TEMPLATE-PACK.md component 6,utm_source=youtube&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=v05-24,Manus,None,DRAFT
75,[DATE: Day 75 of launch],N05-12,Beehiiv,The AI Business Mastermind -8,MOFU,Proof,Newsletter,"Which of your last four decisions are you most confident was right, and why?",Get Offer,30-DAY-DECISION-ROOM.md Week 5,utm_source=beehiiv&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=n05-12,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
76,[DATE: Day 76 of launch],T05-16,X,The Daily AI Prompt Club -8,MOFU,Objection,Text,"Draft a training note someone with zero experience could follow, no clarifying questions.",Get Offer,30-DAY-PROMPT-PRACTICE.md Day 22,utm_source=x&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=t05-16,Manus,None,DRAFT
77,[DATE: Day 77 of launch],C05-25,Instagram,The AI Automation Templates -8,TOFU,Story,Carousel,"14 templates. $49. One real workflow, tested properly.",Learn More,FULFILLMENT-MANIFEST.md,utm_source=instagram&utm_medium=organic&utm_campaign=automation-templates_90day&utm_content=c05-25,Manus,None,DRAFT
78,[DATE: Day 78 of launch],V05-25,TikTok,The AI Business Mastermind -8,BOFU,Offer,Video,"Self-guided. Your schedule. No live calls, no cohort, no application.",Shop Now,SELF-GUIDED-COPY-PATCHES.md replacement copy,utm_source=tiktok&utm_medium=organic&utm_campaign=business-mastermind_90day&utm_content=v05-25,Manus,Requires SELF-GUIDED-COPY-PATCHES.md applied (Gate 0),DRAFT
79,[DATE: Day 79 of launch],C05-26,Pinterest,The Daily AI Prompt Club -8,TOFU,Practice,Pin,"Draft a one-week plan and let the AI flag what's unrealistic in the ask.",Learn More,30-DAY-PROMPT-PRACTICE.md Day 25,utm_source=pinterest&utm_medium=organic&utm_campaign=prompt-club_90day&utm_content=c05-26,Manus,None,DRAFT
