Asset Number,Working Title,Offer,Channel Fit,Funnel Stage,Primary CTA,Landing Target,Risk Flag,Recommended Launch Order
S2-P2-YT,"Stage 2 Final YouTube video - Automation Templates",AI Automation Templates -8,YouTube,MOFU,"$49 pack, link below",[OFFER LINK],"LOW - matches fixed facts, includes appropriate disclaimer (""Review AI-generated outputs and keep human approval""). Duplicate frame vs CH3-P2-YT; use this version, not the one with the unsupported 10-hour claim.",2
S2-P2-PIN,"Stage 2 Final Pinterest Pin - Automation Templates",AI Automation Templates -8,Pinterest,MOFU,"Destination link",[OFFER LINK],"LOW - matches fixed facts. New asset for this product.",2
S2-P2-BEE,"Stage 2 Final Beehiiv email - Automation Templates",AI Automation Templates -8,Email,MOFU/BOFU,"Get the complete pack for $49",[OFFER LINK],"LOW - matches fixed facts, no overstated claims. Duplicate frame vs CH3-P2-BEE; use this version, not the ""zero clicks / weekend back"" one.",2
S2-P2-DM,"Stage 2 Final DM script (AUTOMATE trigger) - Automation Templates",AI Automation Templates -8,DM,BOFU,"$49 pack",[OFFER LINK],"LOW - matches fixed facts. New asset for this product.",2
S2-P3-X,"Stage 2 Final X 6-post thread - Business Mastermind",AI Business Mastermind -8,X,TOFU/MOFU,"Apply / reply OPERATOR",[APPLY LINK],"HIGH - ""focused working room"" language implies live group participation, contradicts the built self-guided product. Pricing matches fixed facts ($199) but the delivery model description does not.",Hold - blocked on community-language resolution
S2-P3-IG,"Stage 2 Final Instagram Reel - Business Mastermind",AI Business Mastermind -8,Instagram,MOFU,"Comment OPERATOR / apply link in bio",Link in bio,"HIGH - explicitly says ""a working room for owners who want to make those decisions with other serious operators."" Direct contradiction of the self-guided build. Good outcome disclaimer present, but does not fix the access-model claim.",Hold - blocked on community-language resolution
S2-P3-TT,"Stage 2 Final TikTok authority video - Business Mastermind",AI Business Mastermind -8,TikTok,MOFU,"Comment OPERATOR for application",Link in bio,"MEDIUM - ""Mastermind is where owners bring those plans, challenge the assumptions"" implies live peer interaction, though less explicit than other channel copy.",Hold - blocked on community-language resolution
S2-P3-YT,"Stage 2 Final YouTube video - Business Mastermind",AI Business Mastermind -8,YouTube,MOFU/BOFU,"Apply below",[APPLY LINK],"HIGH - ""focused working room for owners and operators... with accountability,"" ""Bring the process you are working on... and we will start"" implies a live interactive session. Good outcome disclaimer present but does not fix the access-model claim.",Hold - blocked on community-language resolution
S2-P3-PIN,"Stage 2 Final Pinterest Pin - Business Mastermind",AI Business Mastermind -8,Pinterest,MOFU,"Apply destination link",[APPLY LINK],"MEDIUM - ""Apply to..."" framing implies selective cohort admission, which does not match a simple self-guided digital purchase.",Hold - blocked on community-language resolution
S2-P3-BEE,"Stage 2 Final Beehiiv email - Business Mastermind",AI Business Mastermind -8,Email,MOFU/BOFU,"Apply here",[APPLY LINK],"HIGH - ""Members bring a real workflow, clarify the test, review what happened, and decide the next move with accountability"" implies an ongoing live peer group, not a solo download.",Hold - blocked on community-language resolution
S2-P3-DM,"Stage 2 Final DM script (OPERATOR trigger) - Business Mastermind",AI Business Mastermind -8,DM,BOFU,"Apply for $199",[APPLY LINK],"HIGH - most explicit live-cohort language of any asset: ""a focused working room... with other operators,"" references ""capacity, fit, or participation standards,"" and uses an application-gated framing inconsistent with an instant digital purchase. Duplicate frame vs CH3-P3-DM.",Hold - blocked on community-language resolution
